Temp,Humd,Label
22.0,33.0,1
22.0,33.0,1
22.0,33.0,1
22.0,33.0,1
22.0,33.0,1
22.0,33.0,1
22.0,34.0,1
22.0,34.0,1
22.0,34.0,1
22.0,34.0,1
22.0,34.0,1
22.0,34.0,1
22.0,34.0,1
22.0,47.0,1
23.0,45.0,1
23.0,46.0,1
23.0,45.0,1
23.0,46.0,1
23.0,58.0,1
23.0,58.0,1
23.0,59.0,1
23.0,63.0,1
23.0,69.0,1
23.0,69.0,1
24.0,69.0,1
24.0,69.0,1
24.0,69.0,1
24.0,70.0,1
24.0,70.0,1
24.0,70.0,1
24.0,70.0,1
24.0,69.0,1
24.0,69.0,1
24.0,69.0,1
24.0,68.0,1
24.0,67.0,1
24.0,73.0,1
25.0,80.0,1
25.0,80.0,1
25.0,81.0,1
26.0,84.0,1
26.0,86.0,1
27.0,87.0,1
27.0,88.0,1
27.0,88.0,1
27.0,88.0,1
27.0,89.0,1
28.0,88.0,1
28.0,88.0,1
28.0,88.0,1
28.0,88.0,1
28.0,89.0,1
28.0,89.0,1
28.0,89.0,1
29.0,89.0,1
29.0,89.0,1
29.0,89.0,1
29.0,89.0,1
29.0,89.0,1
30.0,88.0,1
30.0,88.0,1
30.0,88.0,1
30.0,88.0,1
30.0,88.0,1
30.0,89.0,1
31.0,89.0,1
31.0,90.0,1
31.0,90.0,1
31.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
33.0,89.0,1
33.0,89.0,1
33.0,89.0,1
33.0,89.0,1
33.0,89.0,1
33.0,89.0,1
33.0,89.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,91.0,1
32.0,91.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
32.0,90.0,1
31.0,90.0,1
31.0,90.0,1
30.0,88.0,1
29.0,88.0,1
29.0,87.0,1
29.0,87.0,1
29.0,86.0,1
29.0,86.0,1
29.0,85.0,1
28.0,84.0,1
28.0,84.0,1
28.0,84.0,1
28.0,83.0,1
28.0,83.0,1
28.0,82.0,1
28.0,82.0,1
28.0,81.0,1
28.0,80.0,1
28.0,80.0,1
28.0,80.0,1
28.0,80.0,1
28.0,79.0,1
28.0,79.0,1
28.0,78.0,1
28.0,78.0,1
28.0,77.0,1
28.0,77.0,1
28.0,76.0,1
28.0,76.0,1
28.0,75.0,1
28.0,74.0,1
28.0,74.0,1
28.0,73.0,1
28.0,72.0,1
28.0,72.0,1
28.0,72.0,1
28.0,71.0,1
28.0,70.0,1
27.0,68.0,1
27.0,68.0,1
27.0,67.0,1
27.0,66.0,1
27.0,62.0,1
27.0,62.0,1
27.0,61.0,1
27.0,56.0,1
27.0,55.0,1
27.0,53.0,1
27.0,52.0,1
27.0,52.0,1
27.0,52.0,1
27.0,51.0,1
27.0,51.0,1
27.0,50.0,1
26.0,50.0,1
26.0,48.0,1
26.0,48.0,1
26.0,48.0,1
26.0,48.0,1
26.0,47.0,1
26.0,47.0,1
26.0,47.0,1
26.0,46.0,1
26.0,46.0,1
26.0,46.0,1
26.0,45.0,1
26.0,45.0,1
26.0,45.0,1
26.0,44.0,1
26.0,44.0,1
26.0,44.0,1
26.0,44.0,1
26.0,43.0,1
26.0,43.0,1
26.0,42.0,1
26.0,41.0,1
26.0,41.0,1
26.0,41.0,1
26.0,41.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,36.0,1
25.0,36.0,1
25.0,34.0,1
25.0,34.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,31.0,1
25.0,31.0,1
25.0,31.0,1
25.0,31.0,1
25.0,31.0,1
25.0,31.0,1
25.0,31.0,1
25.0,31.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,25.0,1
24.0,26.0,1
24.0,26.0,1
24.0,25.0,1
24.0,25.0,1
24.0,25.0,1
24.0,25.0,1
24.0,25.0,1
24.0,25.0,1
24.0,25.0,1
24.0,25.0,1
